Data_dt,Data,Product,Sku,Sensation_Posizione,Sensation_Prezzo,Comp_rank_1,Comp_1_Prezzo,Comp_rank_2,Comp_3_prezzo,Comp_rank_4,Comp_4_prezzo,Comp_rank_5,Comp_5_prezzo
22/01/2026,22/01/2026,Dior J'Adore Roller Pearl Eau de Toilette 20ml,129021,1,"€ 36,33",Sensation Profumerie,"€ 36,33",Greta Profumerie,"37,9",Ditano,"40,5",Amoretti Profumi,"41,54"
22/01/2026,22/01/2026,Dior Joy Intense Eau de Parfum 50ml,126107,1,"€ 88,69",Sensation Profumerie,"€ 88,69",Greta Profumerie,"92,47",Marionnaud,"93,03",Sabbioni,"94,99"
22/01/2026,22/01/2026,Dior Miss Dior Brume Soyeuse Pour le Corps 100 ml,107486,2,"€ 44,40",Sabbioni,"€ 44,40",Sensation Profumerie,"44,4",Profumeria Ideale,"46,68",Amoretti Profumi,"47,34"
22/01/2026,22/01/2026,Dior Miss Dior Rose N'Roses Eau de Toilette 100ml,128216,2,"€ 104,65",Ideabellezza,"€ 102,00",Sensation Profumerie,"104,65",Greta Profumerie,"109,14",Ditano,"116,62"
22/01/2026,22/01/2026,Dior Miss Dior Rose N'Roses Eau de Toilette 50ml,128215,2,"€ 74,83",Ideabellezza,"€ 74,10",Sensation Profumerie,"74,83",Greta Profumerie,"78,07",Sabbioni,"80,21"
22/01/2026,22/01/2026,Dior Poison Girl Eau de Parfum 30ml,106822,1,"€ 59,57",Sensation Profumerie,"€ 59,57",Casa del Profumo,"62,95",Sabbioni,"63,86",Greta Profumerie,"63,86"
22/01/2026,22/01/2026,Dior Poison Girl Eau de Parfum 50ml,106823,1,"€ 87,22",Sensation Profumerie,"€ 87,22",Sabbioni,"93,45",Greta Profumerie,"93,45",Ditano,"97,19"
22/01/2026,22/01/2026,Dior Poison Girl Eau de Toilette 30ml,112044,1,"€ 53,06",Sensation Profumerie,"€ 53,06",Greta Profumerie,"56,85",Ditano,"59,12",Amoretti Profumi,"60,63"
22/01/2026,22/01/2026,Dior Sauvage Eau de Parfum 200ml,124001,3,"€ 151,20",Ideabellezza,"€ 149,90",Greta Profumerie,"151,18",Sensation Profumerie,"151,2",Ditano,"151,9"
22/01/2026,22/01/2026,Dior Sauvage Eau de Toilette 100ml,105332,3,"€ 87,22",Greta Profumerie,"€ 85,97",Ideabellezza,"86,9",Sensation Profumerie,"87,22",Ditano,"89,71"
22/01/2026,22/01/2026,Dolce & Gabbana The Only One Eau de Parfum 100ml,146506,8,"€ 105,95",Jasmine Parfums,"€ 82,90",Bontempo Profumi,"90,79",Casa del Profumo,"93,95",Greta Profumerie,"97,8"
22/01/2026,22/01/2026,Dolce & Gabbana The Only One Intense Eau de Parfum 100ml,146508,9,"€ 113,75",Casa del Profumo,"€ 78,95",Fragranzia,99,Greta Profumerie,"99,75",Parfimo,"100,27"
22/01/2026,22/01/2026,Dolce & Gabbana Intenso Eau de Parfum 75ml,146469,9,"€ 62,40",Profumeria Ideale,"€ 53,13",ProfumeriaWeb,"55,65",Profumerie Sergnese,"55,9",Ideabellezza,"59,8"
22/01/2026,22/01/2026,Dolce & Gabbana The One For Men Eau de Toilette 150ml,146498,6,"€ 91,65",Casa del Profumo,"€ 57,95",Profumeria Ideale,"73,69",ProfumeriaWeb,"77,19",Jasmine Parfums,"84,9"
22/01/2026,22/01/2026,Collistar Impeccabile Base Mascara,152421,4,"€ 18,00",Profumeria Lady,"€ 15,00",Notino,"17,7",Sensation Profumerie,18,Ditano,18
22/01/2026,22/01/2026,Ermanno Scervino Glam Eau de Parfum 100ml,137576,2,"€ 19,90",Sensation Profumerie,"€ 19,90",Ditano,"19,9",-,-,-,-
22/01/2026,22/01/2026,Estée Lauder Bronze Goddess Powder Bronzer 02 Medium,134132,3,"€ 38,19",Parfumdreams,"€ 35,52",Sabbioni,"38,09",Sensation Profumerie,"38,19",Greta Profumerie,"38,19"
22/01/2026,22/01/2026,Estée Lauder Double Wear Stay in Place Fondotinta 1N1 Ivory Nude,121815,3,"€ 38,53",Amazon,"€ 34,54",Sabbioni,"38,41",Sensation Profumerie,"38,53",Greta Profumerie,"38,53"
22/01/2026,22/01/2026,Estée Lauder Double Wear Stay in Place Fondotinta 5W1 Bronzo,111390,4,"€ 38,53",eCharme,"€ 37,38",Marionnaud,"37,9",Sabbioni,"38,41",Sensation Profumerie,"38,53"
22/01/2026,22/01/2026,Estée Lauder Double Wear Stay in Place Fondotinta 6N1 Mocha,121818,5,"€ 38,53",eCharme,"€ 37,38",Bontempo Profumi,"37,88",Sabbioni,"38,41",Sensation Profumerie,"38,53"
22/01/2026,22/01/2026,Estée Lauder Futurist Hydra Rescue Fondotinta 2C3 Fresco,129476,4,"€ 40,20",Amazon,"€ 35,60",Marionnaud,"37,9",Sabbioni,"40,1",Sensation Profumerie,"40,2"
22/01/2026,22/01/2026,Giorgio Armani Acqua di Giò Eau de Parfum 30ml,152535,10,"€ 61,60",Flaconi,"€ 49,32",Notino,"50,56",Parfumdreams,"52,09",Ditano,"54,8"
22/01/2026,22/01/2026,Giorgio Armani Eye Tint Ombretto Liquido 56S Mahogany,145060,3,"€ 27,23",eCharme,"€ 26,56",Parfumdreams,"27,22",Sensation Profumerie,"27,23",Rizzi Profumerie,"27,3"
22/01/2026,22/01/2026,Giorgio Armani Eye Tint Ombretto Liquido 99 Matte Ebony,145061,4,"€ 27,23",Flaconi,"€ 26,27",eCharme,"26,56",Parfumdreams,"26,84",Sensation Profumerie,"27,23"
22/01/2026,22/01/2026,Giorgio Armani My Way Floral Eau de Parfum 90ml,137906,7,"€ 114,03",Brasty,"€ 84,63",Profumo Mania,"97,8",Casa del Profumo,"98,95",Bontempo Profumi,"102,01"
22/01/2026,22/01/2026,Giorgio Armani My Way Nectar Eau de Parfum 50ml,151561,9,"€ 92,33",Parfumdreams,"€ 78,08",Bontempo Profumi,"79,6",Profumeria Dragone,"80,37",Greta Profumerie,"82,45"
22/01/2026,22/01/2026,Giorgio Armani My Way Parfum 90ml,145078,11,"€ 144,76",Brasty,"€ 109,35",Profumeria Dragone,"112,15",Casa del Profumo,"113,95",Notino,124
22/01/2026,22/01/2026,Givenchy Amarige Eau de Toilette 100ml,169395,12,"€ 94,15",Casa del Profumo,"€ 49,95",Redcare,"70,86",Profumeria Ideale,"72,39",ProfumeriaWeb,"75,82"
22/01/2026,22/01/2026,Givenchy Irresistible Eau de Parfum 50ml,149965,10,"€ 81,69",Ideabellezza,"€ 68,30",Ideabellezza,"69,2",Brasty,"73,9",Monook,"74,1"
22/01/2026,22/01/2026,Givenchy L'Interdit Rouge Eau de Parfum 50ml,134618,15,"€ 81,69",Farmacia Soccavo,"€ 67,59",Parfumdreams,"69,08",Antica farmacia Orlandi,"71,91",Greta Profumerie,"73,55"
22/01/2026,22/01/2026,Givenchy Prisme Libre Skin-Caring Matte Fondotinta N270,137973,2,"€ 39,48",Bontempo Profumi,"€ 39,45",Sensation Profumerie,"39,48",Parfumdreams,"39,51",-,-
22/01/2026,22/01/2026,Givenchy Prisme Libre Skin-Caring Matte Fondotinta W345,137993,3,"€ 39,48",Greta Profumerie,"€ 33,84",Marionnaud,"38,9",Sensation Profumerie,"39,48",Parfumdreams,"40,2"
22/01/2026,22/01/2026,Gucci Flora Gorgeous Gardenia Intense Eau de Parfum 100ml,164160,3,"€ 114,40",Flaconi,"€ 99,99",Bontempo Profumi,"114,21",Rizzi Profumerie,"114,4",Sabbioni,"114,4"
22/01/2026,22/01/2026,Gucci Flora Gorgeous Jasmine Eau de Parfum 30ml,140624,14,"€ 55,25",Casa del Profumo,"€ 39,95",Flaconi,"46,99",Jasmine Parfums,"47,9",Parfumdreams,51
22/01/2026,22/01/2026,Gucci Flora Gorgeous Magnolia Eau de Parfum 30ml,148393,10,"€ 55,25",Flaconi,"€ 47,59",Parfumdreams,49,Notino,"50,2",Profumeria Lauda,"53,95"
22/01/2026,22/01/2026,Guerlain Abeille Royale Cofanetto Programma Anti-Età Siero + Crema Giorno + Crema Notte,164708,1,"€ 143,22",Sensation Profumerie,"€ 143,22",Profumeria Pepe,"163,6",-,-,-,-
22/01/2026,22/01/2026,Guerlain Abeille Royale Crema Occhi 15ml,128144,3,"€ 76,16",Ideabellezza,"€ 73,30",Greta Profumerie,"75,06",Sensation Profumerie,"76,16",PepinoShop,"76,21"
22/01/2026,22/01/2026,Guerlain Abeille Royale Double R Renew & Repair Serum,144773,3,"€ 88,69",Casa del Profumo,"€ 71,95",Greta Profumerie,"87,45",Sensation Profumerie,"88,69",PepinoShop,"88,79"
22/01/2026,22/01/2026,Guerlain Aqua Allegoria Bergamote Calabria Eau de Toilette 125ml,138052,7,"€ 104,79",Parfumdreams,"€ 96,04",Sabbioni,"97,31",Ideabellezza,98,Bontempo Profumi,"99,26"
22/01/2026,22/01/2026,Guerlain Cofanetto Mon Eau de Parfum Profumo 50ml + 5ml + Latte Corpo 75ml,164707,1,"€ 79,90",Sensation Profumerie,"€ 79,90",Sabbioni,"80,66",Bontempo Profumi,"81,14",PepinoShop,"84,52"
22/01/2026,22/01/2026,Hugo Boss Boss Bottled Deodorante stick 75ml,164148,11,"€ 23,01",Casa del Profumo,"€ 11,95",Notino,"14,8",Flaconi,"17,66",Parfumdreams,"17,7"
22/01/2026,22/01/2026,Hugo Boss Boss Bottled Eau de Parfum 100ml,131319,9,"€ 77,88",Casa del Profumo,"€ 54,95",Brasty,"55,65",Jasmine Parfums,"64,9",Parfumdreams,"66,62"
22/01/2026,22/01/2026,Hugo Boss Boss Bottled Infinite Eau de Parfum 200ml,125445,3,"€ 89,90",Notino,"€ 71,68",Flaconi,"78,52",Sensation Profumerie,"89,9",Parfumdreams,"92,64"
22/01/2026,22/01/2026,Hugo Boss Boss The Scent Eau de Toilette 200ml,159403,6,"€ 107,38",Brasty,"€ 71,24",Flaconi,"79,49",Parfumdreams,"88,48",Marisa Profumerie,89
22/01/2026,22/01/2026,Hugo Boss Hugo Man Eau de Toilette 125ml,132754,3,"€ 44,90",Casa del Profumo,"€ 34,95",Fragranzia,42,Sensation Profumerie,"44,9",Profumo Mania,45
22/01/2026,22/01/2026,Hugo Boss Hugo Man Eau de Toilette 40ml,132752,2,"€ 29,90",Casa del Profumo,"€ 20,95",Sensation Profumerie,"29,9",Profumo Mania,33,Profumerie Sergnese,"33,3"
